,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
4,0.20967741935483872,0.5740626920712969,0.1370242214532872,0.5735027223230489,0.4953399703452659,0.3632582819446437,0.3269267005841342,0.43200436919716,0.4643153297584167,0.2892609699769052,0.18181818181818188,0.34666502584297315,0.13346493043395202,0.35334377834583985,0.26638190788384486,0.3099813793345747,0.13481136716828188,0.3457775101610717,0.40110276865321437,0.18424459335973192,0.35108515645428395,0.4351727231942575,0.0,0.45615227736233843,0.3142655159209402,0.3944132489871348,0.15266864675322092,0.3281094570775379,0.51092572040871,0.15750049280504635,0.14259477895841538
11,1.0,0.29686539643515675,0.2598615916955017,0.28765880217785833,0.22209277695403515,0.31736698694966314,0.31335971358583004,0.18757757807457423,0.2529161368787661,0.3083140877598153,0.22398813307904208,0.1919763721388137,0.1982871151580757,0.19881256699925787,0.133008840766862,0.10905385939640937,0.25975963077788106,0.12772843594761402,0.2242491787893008,0.2322190070057874,0.26645166913623286,0.3400628084342756,0.3227867356251901,0.34942216179469754,0.23296709770538163,0.4100504655625845,0.5062034985944034,0.32505540915516307,0.5817228579082316,0.4389907352651291,0.3263806900170538
16,0.1532258064516129,0.26982175783650897,0.13425605536332175,0.277676950998185,0.1815293370048718,0.46364548974616393,0.6310533257961183,0.4560846035450077,0.427055116369064,0.7003464203233255,0.425301970756516,0.15075067683977356,0.11063707854436625,0.18396965448998104,0.10238071587033543,0.14481959034536063,0.35870303702373235,0.40283004666566313,0.5087400281557953,0.5490024367956139,0.288241959382899,0.2346343651861822,0.07331913599026463,0.27192386131883073,0.13926772511708738,0.4057857701329165,0.5404742274185698,0.5292403273939372,0.8048295128391566,0.6114725014784153,0.29135510953692784
18,0.7661290322580645,0.35033804548248304,0.38062283737024216,0.34573502722323046,0.2875450116500742,0.5324824322386348,0.3755417373280573,0.31905069261704977,0.3946597379622976,0.3966512702078523,0.27654164017800364,0.37718434654196403,0.1717978923238562,0.35474560897171603,0.2934008807655376,0.11878579208094721,0.0895957142745582,0.12396507601987053,0.17966916940403563,0.12941669204995432,0.14939422993114268,0.6110363391655451,0.45299665348341944,0.6247450713800137,0.502783587145424,0.7007605373516242,0.30445320803822423,0.38875412296469514,0.6907887183804676,0.4037058939483541,0.26629935720844816
27,0.8709677419354839,0.31837738168408114,0.25951557093425603,0.3185117967332123,0.23596695615335736,0.41632009178259,0.4139815338232523,0.27659997021001936,0.3162695560838079,0.39838337182448036,0.3157448611994067,0.08626630568545411,0.10302779458117098,0.084934443803084,0.06966656733220755,0.05333239644450692,0.16659508172397366,0.11816950173114554,0.11417761614265606,0.17415473652147428,0.23794996949359368,0.3306415432929566,0.322178278065105,0.32358939496940853,0.22177383722642788,0.4455895941431517,0.5255739105384974,0.43927680145198156,0.6023879683134974,0.5332150601222156,0.4477239931785388
28,0.08870967741935484,0.3558696988322064,0.38788927335640133,0.34664246823956435,0.2689578479135776,0.3030259572637317,0.3299415865837573,0.27511047117819376,0.22041019404057716,0.3394919168591223,0.1337147700784065,0.16471818853064235,0.17752873380241327,0.15296445947060278,0.10330783748882488,0.10922952605136492,0.13777888842900984,0.1957699834412163,0.19873298920694513,0.3809016143770942,0.13754031203695632,0.3216689098250337,0.37572254335260113,0.3290278721957852,0.2123479336652037,0.5287511550216789,0.3299824176260815,0.45105670058114167,0.582870919597413,0.6501084171101913,0.2052341597796144
29,0.24193548387096775,0.20282728948985873,0.39238754325259506,0.19718693284936462,0.1437195509425969,0.3335723504947654,0.24024872809496886,0.2679112258577031,0.19719166344187078,0.3331408775981525,0.23310023310023298,0.05673147920255968,0.20914387595911996,0.12402078007751298,0.036157743121088715,0.1128131258124583,0.1765128501479856,0.28006924582267045,0.18876114500234634,0.2360265001522997,0.2558180074958599,0.1368326603858233,0.41648919987830846,0.21142080217539094,0.0858640902530266,0.4455895941431517,0.37001460231054245,0.43159805239001053,0.44280739351727827,0.39936920954070565,0.30407975862521325
31,0.6048387096774194,0.1555009219422251,0.3612456747404844,0.14972776769509977,0.1046388477017581,0.38190162053635435,0.29941586583757296,0.20435926716647632,0.18840179114378908,0.23787528868360264,0.2954015681288409,0.01181393059315776,0.07300455283517462,0.03232456502020285,0.014999503327704382,0.09485999367600041,0.11747479559245,0.14714737317477042,0.21838338808071325,0.11209259823332318,0.18303843807199513,0.12068192014356216,0.2844539093398235,0.15091774303195105,0.06842616866476184,0.5621579358874121,0.3687232415142695,0.41798572450742566,0.7531667368259921,0.24482554701360149,0.34146661419388696
34,0.06451612903225806,0.4990780577750461,0.49930795847750864,0.5117967332123412,0.39313704723575515,0.2271619102251543,0.6517806670435274,0.4635320987041358,0.43838797058986123,0.5785219399538107,0.2792964611146429,0.4844326852079744,0.41513578910503346,0.6330502185206565,0.301016522631701,0.13635245757650283,0.7282375266491219,0.6494806563299713,0.6219497888315345,0.8652147426134633,0.5716900549115315,0.5047106325706594,0.5019774870702768,0.6274643099932019,0.3366520368788477,0.30414386239249425,0.6884840417606213,0.6110015532015147,0.8430982358118709,0.6120638675340037,0.3198215925488654
35,0.9112903225806451,0.14320835894283956,0.342560553633218,0.13992740471869314,0.09722516416013557,0.41775419475118314,0.3676276615790466,0.18492130480115185,0.22814970424014597,0.38452655889145493,0.372324645051918,0.10866354910164903,0.1473463020153459,0.10505483631565928,0.0574153173735969,0.08449566103362259,0.11029027043489806,0.08211651362336295,0.1286367902393243,0.17720073103868417,0.1943693890002615,0.20367877972184834,0.3446912077882568,0.19034670292318145,0.11755869097764296,0.5052953301585045,0.318956183134828,0.2987905970227395,0.46002831885499984,0.4285432682830673,0.31260658533385804
